customer_id,month,segment,ad_exposure,conversion_lift,optimal_number_of_ads
HDUUMPVPJDI,2019-03-01,Segment 3,0,0,0
ZIVERCBDNBX,2019-10-01,Segment 2,2,0.07328218221664429,2
WFUWBAKSUCK,2019-11-01,Segment 4,3,0.01735594868659973,3
RLLSXVIKAKK,2019-12-01,Segment 3,1,0.02991597354412079,0
IGLFCCASNFO,2019-06-01,Segment 5,2,0.040096476674079895,0
QYUXBRTZEEI,2019-05-01,Segment 2,0,0,0
OHOSHXUHHUR,2019-05-01,Segment 1,0,0,0
WJWLIRXANPC,2019-10-01,Segment 2,0,0,0
MUPNIZYCJMP,2019-04-01,Segment 3,0,0,0
MGVUVOWFRIQ,2019-08-01,Segment 2,0,0,0
HDRUOQWVIBP,2019-02-01,Segment 5,0,0,0
IWZAQXBMULF,2019-08-01,Segment 3,0,0,0
LNQNHKBHVCA,2019-10-01,Segment 2,0,0,0
HABIHQCJGUE,2019-10-01,Segment 2,0,0,0
MWWBJOAJLKD,2019-10-01,Segment 2,0,0,0
SYRGJXAHADR,2019-01-01,Segment 2,0,0,0
YHLMPRMIPGN,2019-07-01,Segment 2,0,0,0
ZWDFWYVZPII,2019-06-01,Segment 2,0,0,0
EUEJKKBDMYJ,2019-03-01,Segment 2,0,0,0
LSZWUICPSCU,2019-05-01,Segment 2,0,0,0
CKJGQJDUOYH,2019-07-01,Segment 3,0,0,0
HOKHEWGUWLH,2019-11-01,Segment 2,0,0,0
ZSEZZRJTXPA,2019-03-01,Segment 3,1,-8.019953966140747e-4,0
LTWFEZODSTX,2019-08-01,Segment 2,0,0,0
RSJYLQCPMMG,2019-09-01,Segment 2,0,0,0
PYIODQQNLKP,2019-12-01,Segment 3,1,0.01420891284942627,0
SQFLIKKIHYR,2019-01-01,Segment 1,0,0,0
MGUTXHXDDRM,2019-08-01,Segment 2,0,0,0
LBGJUTZKOCG,2019-06-01,Segment 2,1,-0.004686489701271057,1
XZZHGCYSWYJ,2019-04-01,Segment 5,0,0,0
SHTJJVYNRTS,2019-06-01,Segment 5,0,0,0
DEZHYSBSBAC,2019-08-01,Segment 2,0,0,0
QWAXIDEQFHS,2019-10-01,Segment 2,3,0.04602120816707611,4
MJAURTWYMRB,2019-05-01,Segment 2,0,0,0
XTRYDENIGKZ,2019-10-01,Segment 3,4,0.017468854784965515,8
WWCKUJLBUPK,2019-05-01,Segment 2,0,0,0
LFFXXSGNFAC,2019-11-01,Segment 2,0,0,0
BEHKFXTORAP,2019-12-01,Segment 3,0,0,0
ZQPXJSFXAHW,2019-09-01,Segment 3,0,0,0
OYYYFKOMHIG,2019-08-01,Segment 2,0,0,0
RSVXVPKTXMX,2019-01-01,Segment 4,0,0,0
WUZZYUBRVDV,2019-07-01,Segment 2,1,0.04109317064285278,1
NJNUVXGVKLI,2019-01-01,Segment 3,0,0,0
IEAWHFPHQVV,2019-11-01,Segment 1,0,0,0
WDAIYNTYHVM,2019-01-01,Segment 4,0,0,0
BOVEWOWUYMB,2019-10-01,Segment 3,4,0.028080403804779053,3
FVZHNNLGBED,2019-08-01,Segment 3,2,0.06992384791374207,5
QYEYJVPVZFV,2019-04-01,Segment 1,0,0,0
TTXZRRMELFW,2019-04-01,Segment 3,2,0.027253150939941406,5
OMSNQEBWRIN,2019-12-01,Segment 2,0,0,0
DTHHCDXXCKW,2019-11-01,Segment 2,0,0,0
OTRPGZAUVKV,2019-10-01,Segment 2,0,0,0
CMYZUUVCVXM,2019-02-01,Segment 2,0,0,0
YLDHYQSVDUU,2019-04-01,Segment 1,0,0,0
HVGVPTYRDAL,2019-08-01,Segment 2,0,0,0
FEVJRRYUMNJ,2019-04-01,Segment 2,0,0,0
OESDQMNYZLD,2019-03-01,Segment 2,0,0,0
WPVRJQLZHAK,2019-01-01,Segment 2,0,0,0
UVUMKSLSQXG,2019-09-01,Segment 3,2,0.012302100658416748,0
XCWACNMQTPO,2019-09-01,Segment 2,0,0,0
ISVNBJJJQKZ,2019-04-01,Segment 4,4,0.044160395860672,4
SQDFRLRNLHA,2019-10-01,Segment 5,9,0.04914103448390961,7
TUFLQYKZBUR,2019-02-01,Segment 1,0,0,0
TUJFCZNYPWN,2019-01-01,Segment 2,0,0,0
JGHITFQZFAH,2019-02-01,Segment 3,0,0,0
EUXUDGEKYXQ,2019-10-01,Segment 3,3,0.006913363933563232,5
NNHICGYEBWP,2019-12-01,Segment 5,0,0,0
YEBIDQBTKAF,2019-09-01,Segment 2,0,0,0
PLNDEXJPSYQ,2019-10-01,Segment 2,0,0,0
UHLRMXIYGQS,2019-08-01,Segment 3,4,0.007549107074737549,2
AXVGITSQJEZ,2019-01-01,Segment 3,0,0,0
UHKOIFFTIUP,2019-04-01,Segment 1,0,0,0
BRUTZQAVZFX,2019-10-01,Segment 2,0,0,0
XABPCSCGTQG,2019-05-01,Segment 2,0,0,0
XUZRHQIXMZO,2019-03-01,Segment 2,0,0,0
NPNEZICKKXG,2019-12-01,Segment 2,0,0,0
YIAWZCJIAKM,2019-01-01,Segment 5,0,0,0
CEENVDLKZKX,2019-01-01,Segment 2,0,0,0
XIAWKGSTXMH,2019-01-01,Segment 3,0,0,0
UNATBUGGVYX,2019-09-01,Segment 2,0,0,0
VEZDINHJFWT,2019-03-01,Segment 5,1,0.07619918882846832,0
UEFAVWUMVVD,2019-04-01,Segment 2,0,0,0
ZBZVBVIVIVI,2019-08-01,Segment 3,3,0.008625879883766174,7
ZJOLRPWMWLZ,2019-07-01,Segment 3,0,0,0
VYARAORUCMY,2019-10-01,Segment 3,0,0,0
RQHIHZUIPNT,2019-08-01,Segment 5,0,0,0
EMSSOWXYWUY,2019-09-01,Segment 2,0,0,0
CCKRCGGIPXC,2019-04-01,Segment 1,0,0,0
FGKTJUABMYK,2019-10-01,Segment 2,1,0.053352996706962585,4
KLGDZDTLVKZ,2019-12-01,Segment 3,1,0.01415543258190155,0
QKODQJCBRQI,2019-07-01,Segment 2,0,0,0
ZSXQBROCIIV,2019-11-01,Segment 1,3,0.011945605278015137,0
AOTJRHPQDEC,2019-09-01,Segment 2,0,0,0
MEELSSCAOJX,2019-09-01,Segment 3,2,0.02015732228755951,1
NEXSOZZAQZB,2019-10-01,Segment 2,0,0,0
ZYQOTPWXKOV,2019-09-01,Segment 2,0,0,0
VXZBBAARFIS,2019-04-01,Segment 2,3,0.07175903022289276,5
PWXOXMPFNCN,2019-05-01,Segment 2,0,0,0
COQMEJUROIX,2019-07-01,Segment 5,2,0.01816616952419281,1
LPBDIQCCKJN,2019-08-01,Segment 2,3,0.02885480225086212,3
XQEFNHWJNYA,2019-08-01,Segment 2,0,0,0
RAIZJYGBQUT,2019-09-01,Segment 3,5,0.10237959027290344,7
FBNBARSXYMA,2019-11-01,Segment 2,0,0,0
AQZXACEQDML,2019-04-01,Segment 5,1,0.011913731694221497,0
OXFWFHLLGHJ,2019-01-01,Segment 2,5,0.016078583896160126,9
HHYHLUBSZTT,2019-11-01,Segment 2,0,0,0
BOAXWEGNDWK,2019-04-01,Segment 3,0,0,0
NTZGDOSHSMT,2019-12-01,Segment 2,0,0,0
ZFRTCUKPFTL,2019-06-01,Segment 4,2,0.022374391555786133,1
YPZBLSLGDNK,2019-02-01,Segment 2,0,0,0
VVQDORJXFCQ,2019-01-01,Segment 2,0,0,0
AEHFKOBGQSQ,2019-05-01,Segment 4,3,0.03626145422458649,3
KNFJFUMGLBB,2019-09-01,Segment 2,0,0,0
KEZHXVQXQNR,2019-03-01,Segment 4,0,0,0
ADJGZZWCGGJ,2019-01-01,Segment 3,6,0.01669362187385559,6
DASWCXAZUSB,2019-04-01,Segment 5,0,0,0
BAMUWXDIIGS,2019-12-01,Segment 3,1,0.0017019063234329224,2
LKJDESEIVXH,2019-06-01,Segment 2,1,0.07039955258369446,2
BOZLQAWDDSP,2019-06-01,Segment 2,0,0,0
IILTFLRPECR,2019-08-01,Segment 5,4,-0.011953935027122498,1
SVLZGBOTLWE,2019-07-01,Segment 3,2,0.005727097392082214,3
HPRDRVGJIHC,2019-06-01,Segment 3,1,0.05206179618835449,1
BGNJQRIRLQY,2019-02-01,Segment 4,2,0.0812106505036354,3
YTTWTOWBTGF,2019-01-01,Segment 3,5,0.01280762255191803,6
UJRDKNTUJXF,2019-01-01,Segment 5,1,0.023032695055007935,0
YYIHJWBXEAB,2019-06-01,Segment 2,7,0.0340903103351593,6
RAHFTMJYHYL,2019-12-01,Segment 3,0,0,0
RLSSYDRELKL,2019-10-01,Segment 3,9,0.04129490256309509,13
NKLPISKANVG,2019-05-01,Segment 2,0,0,0
ZHAIXJODTEU,2019-07-01,Segment 2,6,0.11626045405864716,6
VHZKEEBKHOY,2019-05-01,Segment 2,4,0.1196599155664444,4
FAQUPMREEPV,2019-08-01,Segment 2,0,0,0
ZCIBHBZRFUY,2019-09-01,Segment 4,4,-0.032631635665893555,3
RYLUQPXCSEQ,2019-12-01,Segment 2,1,0.021887153387069702,1
IGYDUPUGBOA,2019-05-01,Segment 2,0,0,0
BEZMEBTHHJC,2019-07-01,Segment 3,1,0.03242400288581848,2
FMSUUBCKONC,2019-05-01,Segment 2,4,0.03056155890226364,4
AQAATIWQAXX,2019-01-01,Segment 2,0,0,0
DWTJXDUKFVX,2019-12-01,Segment 4,2,0.009298771619796753,2
BSFTYFCNJOK,2019-08-01,Segment 2,0,0,0
DJSHNQIEPWO,2019-12-01,Segment 2,0,0,0
NXIZFFELQFU,2019-12-01,Segment 2,0,0,0
VULMYKFVICW,2019-12-01,Segment 3,3,0.03404754400253296,3
WVGUIGTWPAM,2019-07-01,Segment 2,2,0.02450600266456604,3
JSAMCCNGSCP,2019-01-01,Segment 5,6,0.023858577013015747,3
XOVBJDKAKZP,2019-06-01,Segment 3,3,0.009638935327529907,3
AAUTEANXUPT,2019-03-01,Segment 3,0,0,0
UMWROCGLCVY,2019-09-01,Segment 5,0,0,0
POIOJDUGHQR,2019-06-01,Segment 3,0,0,0
DHOXMUWFGPU,2019-04-01,Segment 2,0,0,0
DRIGASORAYG,2019-03-01,Segment 2,0,0,0
ULHMFKNHSIH,2019-04-01,Segment 5,0,0,0
ATPVMWIIRCF,2019-02-01,Segment 3,2,0.05140123516321182,3
DTSDVJJUESE,2019-07-01,Segment 2,0,0,0
GXKUYOGQTQX,2019-12-01,Segment 3,0,0,0
FALQSYYMPCS,2019-07-01,Segment 2,0,0,0
DHURFGFRVDN,2019-06-01,Segment 2,0,0,0
GIJXJKADICO,2019-04-01,Segment 3,0,0,0
YDQGAJZEIHF,2019-12-01,Segment 2,0,0,0
NUDWLTJHZUQ,2019-05-01,Segment 3,2,0.05573360621929169,1
UMFUZITYEVV,2019-09-01,Segment 2,0,0,0
TXSTJFJARUY,2019-06-01,Segment 2,4,0.04001554846763611,3
EFNUTYLTHJH,2019-03-01,Segment 2,0,0,0
ABABTWFCMZJ,2019-12-01,Segment 5,1,0.008490122854709625,0
DDZPGHYUKSA,2019-12-01,Segment 3,0,0,0
HNVADCUCDEW,2019-01-01,Segment 3,1,0.0027922838926315308,1
DYODVSWAEFP,2019-12-01,Segment 2,3,0.008092954754829407,4
QKKFKAFNEQT,2019-08-01,Segment 4,2,0.018814876675605774,0
QLOCHWHGHLF,2019-07-01,Segment 3,0,0,0
EEBUXYSAKEN,2019-11-01,Segment 2,0,0,0
FRBDNYJUDCX,2019-11-01,Segment 2,0,0,0
SGPAXEEPYLN,2019-05-01,Segment 3,6,0.07754617929458618,8
JURGZFCSMWZ,2019-09-01,Segment 3,4,0.09579115360975266,7
HLCJQIQSSGO,2019-12-01,Segment 3,0,0,0
JTMCWRQQLYY,2019-01-01,Segment 2,0,0,0
SOUFPTKEUFA,2019-02-01,Segment 2,0,0,0
JBVBAXDJSDK,2019-06-01,Segment 4,3,0.05948849022388458,2
UCYHAAWYBIL,2019-03-01,Segment 3,6,0.032395392656326294,7
RDCLPORMYPD,2019-10-01,Segment 3,1,0.06037166714668274,1
ZHRIBPTJZML,2019-11-01,Segment 3,1,0.04904390871524811,0
NUPRMGKYQHT,2019-08-01,Segment 2,0,0,0
ZFKPJAEUQVV,2019-05-01,Segment 5,0,0,0
GAFZTIMAHJB,2019-04-01,Segment 2,0,0,0
XOTFVKTYECQ,2019-01-01,Segment 3,1,0.01274387538433075,0
QXYJXVPMCSF,2019-02-01,Segment 2,1,0.07211640477180481,2
FCECECFYSTM,2019-09-01,Segment 5,0,0,0
TRANEJDJAXM,2019-08-01,Segment 2,0,0,0
HDLPJWDZVJK,2019-06-01,Segment 3,3,0.007836714386940002,2
ZRFBIVVVXNB,2019-06-01,Segment 3,0,0,0
MFEEBQHGOED,2019-09-01,Segment 2,0,0,0
JBAIFEKNDDO,2019-09-01,Segment 2,3,0.07194474339485168,5
NSMODDEUCTS,2019-03-01,Segment 2,0,0,0
WLBIGKFDZNX,2019-04-01,Segment 2,0,0,0
MFHCUPLTHOP,2019-12-01,Segment 2,0,0,0
YORKXWISJHJ,2019-11-01,Segment 5,7,0.03467723727226257,5
GJZPTTVIYYJ,2019-06-01,Segment 2,0,0,0
NVYKNIKSHTX,2019-05-01,Segment 2,0,0,0
BASTVWIBYRC,2019-09-01,Segment 1,0,0,0
YXEIUDPVVKG,2019-04-01,Segment 5,5,0.07103638723492622,7
XSJWSWNTSEI,2019-01-01,Segment 2,0,0,0
KAGXQETKEQI,2019-03-01,Segment 2,0,0,0
HEZJUJWLQNF,2019-12-01,Segment 4,2,0.027174875140190125,1
IIRQUHVXFRY,2019-12-01,Segment 2,0,0,0
OHRNVOAPOQV,2019-06-01,Segment 5,5,0.01605062186717987,5
VZAFIVLDYZO,2019-08-01,Segment 5,0,0,0
FHCNYIFNDBQ,2019-04-01,Segment 2,0,0,0
MYQUZCAPKVR,2019-04-01,Segment 4,0,0,0
RUEMVAAXVHM,2019-07-01,Segment 3,2,0.044386208057403564,3
CRJBXVLYKWE,2019-01-01,Segment 2,0,0,0
ZQFSJSUTIBU,2019-02-01,Segment 2,0,0,0
GUSHHTXLMUQ,2019-01-01,Segment 5,3,0.019334793090820312,0
CLXOCJPPMBY,2019-02-01,Segment 1,0,0,0
HTUPDWBRHRY,2019-06-01,Segment 4,5,0.0034475475549697876,8
EJQFAKSZQTP,2019-01-01,Segment 1,0,0,0
IXKUHTVVAGT,2019-01-01,Segment 5,0,0,0
ZCSBUBPATHA,2019-06-01,Segment 3,2,0.06469184160232544,3
PBBAGDNGNKT,2019-07-01,Segment 2,0,0,0
XNDHEIBJETU,2019-03-01,Segment 2,0,0,0
EFGVJSAMEVD,2019-03-01,Segment 2,0,0,0
TJHCQGMXJXR,2019-03-01,Segment 2,0,0,0
ODBOEYBVBIT,2019-02-01,Segment 3,4,0.02621610462665558,5
MDATOVLVUFY,2019-04-01,Segment 2,0,0,0
ZSLKZWKBMBX,2019-09-01,Segment 5,0,0,0
TMHUNXLUMTK,2019-04-01,Segment 5,9,0.06867887079715729,4
XWSWWQFYDUB,2019-10-01,Segment 2,2,0.024158716201782227,1
WRTNLBDPENK,2019-01-01,Segment 2,0,0,0
RLSVLTIXWES,2019-04-01,Segment 5,0,0,0
FNGMXFQMRXZ,2019-04-01,Segment 4,2,0.03761585056781769,1
GDGQJFWMYCA,2019-11-01,Segment 3,2,0.012144505977630615,1
NDTABKDGGUI,2019-10-01,Segment 2,0,0,0
HNUYECEOCKV,2019-04-01,Segment 2,0,0,0
VPBYPXFOUTP,2019-01-01,Segment 2,0,0,0
XKMTJOQYJBU,2019-11-01,Segment 1,1,0.002868443727493286,0
PCNIFXUPDCQ,2019-10-01,Segment 2,0,0,0
RDKTAXEQGRA,2019-10-01,Segment 2,0,0,0
KGQKBOHSLGM,2019-12-01,Segment 3,2,0.025534898042678833,4
HENDFJDHJPF,2019-08-01,Segment 2,0,0,0
PIYAARWAIEQ,2019-10-01,Segment 2,0,0,0
HGYWWMFBGFX,2019-08-01,Segment 4,2,0.029521912336349487,0
ZTQQKIRAMGL,2019-11-01,Segment 3,1,0.01124495267868042,2
NTWQBSXIQIZ,2019-06-01,Segment 2,2,0.10931425169110298,6
UOMNWUSZDHE,2019-10-01,Segment 1,0,0,0
XWSKCYOEWZZ,2019-02-01,Segment 2,0,0,0
WBOORLDMVYI,2019-09-01,Segment 2,1,0.03576064109802246,2
VUJRZURCRTX,2019-07-01,Segment 1,0,0,0
JJKHHZPNGWW,2019-07-01,Segment 2,0,0,0
RNXWSXYXDJM,2019-02-01,Segment 3,4,0.00908505916595459,5
ZQQOALSVWOH,2019-12-01,Segment 3,1,0.01788032054901123,1
EXADMNCCKXC,2019-12-01,Segment 2,1,0.11117491126060486,0
OIHBVVVUNWY,2019-08-01,Segment 3,10,0.051183417439460754,19
JXUWGLJVGMP,2019-03-01,Segment 2,4,0.024422362446784973,4
KDEWCAMWROW,2019-04-01,Segment 3,1,0.01531115174293518,0
XUWQJZYCQSL,2019-03-01,Segment 3,5,0.028233930468559265,3
GPFASJFAAGL,2019-10-01,Segment 3,2,0.05588126182556152,2
BRVVJTWPXDZ,2019-10-01,Segment 2,0,0,0
OJONNWCWRWT,2019-03-01,Segment 2,0,0,0
QFMOICAKJVN,2019-11-01,Segment 5,4,0.07488919794559479,4
BKOUVAJKVWU,2019-10-01,Segment 2,0,0,0
QDLHREZAMFC,2019-09-01,Segment 3,0,0,0
RLLELDAUKKS,2019-11-01,Segment 2,1,0.02078115940093994,1
KRFZUXWQEZX,2019-04-01,Segment 2,0,0,0
LVHSSRAWTDZ,2019-10-01,Segment 3,4,7.045269012451172e-5,4
OTWKQVXDXMQ,2019-11-01,Segment 2,0,0,0
BBMYTPVGDEH,2019-10-01,Segment 2,0,0,0
SDFUOEVYVNV,2019-04-01,Segment 5,7,0.03622362017631531,4
GEUYTWGSPMB,2019-12-01,Segment 3,0,0,0
URYOGPZHYBF,2019-06-01,Segment 2,0,0,0
GUUVEKBCMHX,2019-08-01,Segment 2,0,0,0
PHIFUATSRMJ,2019-04-01,Segment 2,0,0,0
THDPUPQZFQQ,2019-07-01,Segment 2,0,0,0
GIDXRMUXGYZ,2019-12-01,Segment 2,0,0,0
ORUEMBHBYZM,2019-10-01,Segment 3,0,0,0
SRWDLMXKGYP,2019-08-01,Segment 3,0,0,0
LERQTRXHLBJ,2019-05-01,Segment 5,0,0,0
PKIAXCLKQPT,2019-09-01,Segment 4,0,0,0
ONMTKKOGACY,2019-05-01,Segment 5,5,0.07760880887508392,3
TOLOAHELAVB,2019-10-01,Segment 2,0,0,0
DXUDHFDVZQA,2019-09-01,Segment 1,3,0.0016106665134429932,1
ABYNWOJHECR,2019-05-01,Segment 3,0,0,0
LWVTQTRXRDR,2019-05-01,Segment 1,1,0.009652361273765564,0
ZOZXALIHFXM,2019-01-01,Segment 5,1,0.002831786870956421,0
OUWQDHFNWPN,2019-05-01,Segment 2,0,0,0
VFXGYFVJKIC,2019-11-01,Segment 2,0,0,0
MVKDZLJHWPO,2019-03-01,Segment 4,2,0.0174771249294281,2
GWBFYJQRIJC,2019-07-01,Segment 5,5,7.896870374679565e-4,1
NKHHAQKODOR,2019-06-01,Segment 5,2,0.03544759750366211,1
QWFQCCTKJRD,2019-04-01,Segment 2,0,0,0
KLHBDUXYDIF,2019-08-01,Segment 3,0,0,0
LUILGHUIDLF,2019-06-01,Segment 3,0,0,0
BUGQJUMMQUH,2019-03-01,Segment 2,0,0,0
ROTLRWCTOBH,2019-07-01,Segment 2,0,0,0
PZTPJFSWEQE,2019-07-01,Segment 2,0,0,0
RNEFYVDWFZY,2019-07-01,Segment 2,0,0,0
YUAOZDLCWFX,2019-10-01,Segment 2,2,0.01961308717727661,4
KLYSMLOOUZE,2019-11-01,Segment 2,0,0,0
ZONVROEHFLY,2019-08-01,Segment 2,0,0,0
HKPRWMNDMSQ,2019-04-01,Segment 3,9,0.055584609508514404,10
ECRYBMJTWII,2019-10-01,Segment 2,0,0,0
OZZCNEWXOEB,2019-09-01,Segment 2,0,0,0
YCCRRAEXOUG,2019-02-01,Segment 2,0,0,0
INQUMEVQGTF,2019-10-01,Segment 3,2,-0.021656081080436707,4
YPIONURBRAQ,2019-07-01,Segment 5,0,0,0
KOXLVQYFVSM,2019-09-01,Segment 2,0,0,0
QVIIJCISOSC,2019-10-01,Segment 2,0,0,0
TAKDFAESMYT,2019-10-01,Segment 4,0,0,0
OVNPMSYBHRR,2019-03-01,Segment 2,0,0,0
DGEJIUYZPNM,2019-04-01,Segment 2,0,0,0
RMKEASAFEPV,2019-10-01,Segment 5,0,0,0
NJDLMGPWOHX,2019-03-01,Segment 2,0,0,0
KFTAZORIGKO,2019-10-01,Segment 2,0,0,0
UVTTPJWZQEO,2019-10-01,Segment 2,0,0,0
WDVLCRBFOID,2019-01-01,Segment 2,0,0,0
WWVOYDOWUZX,2019-05-01,Segment 2,0,0,0
EJAZRQMOWPS,2019-07-01,Segment 2,0,0,0
WPXNQHDLEVH,2019-01-01,Segment 3,0,0,0
XHQMAIYASYJ,2019-02-01,Segment 2,0,0,0
YBPRBQPOUMF,2019-10-01,Segment 2,4,0.02563004195690155,7
TUZOIQYFNYW,2019-01-01,Segment 1,0,0,0
ZAPZPECBFHV,2019-05-01,Segment 4,0,0,0
RRIRYIEGWYT,2019-01-01,Segment 3,2,0.04060645401477814,3
FTDOERFARJP,2019-06-01,Segment 3,7,0.02465207874774933,12
AWJAVZUSMPI,2019-03-01,Segment 1,3,0.030897535383701324,1
SXZYEGJQIWE,2019-07-01,Segment 2,0,0,0
LWDDFXJTWQR,2019-08-01,Segment 3,2,0.004185274243354797,1
CYZOBRATAUW,2019-10-01,Segment 3,2,-0.03671686351299286,4
TOWPUFMHXVZ,2019-01-01,Segment 4,0,0,0
JHNHRTQOTTU,2019-03-01,Segment 2,2,0.05008666217327118,3
EGQXNEHMKUX,2019-11-01,Segment 2,3,0.07182236015796661,4
IGEPXLPWCFO,2019-10-01,Segment 4,0,0,0
LIWPAWGKXEL,2019-10-01,Segment 3,8,0.05013720691204071,8
CIIUBGDSZOK,2019-09-01,Segment 5,0,0,0
LCELECXPODL,2019-11-01,Segment 2,0,0,0
RSQPCMHJDHV,2019-02-01,Segment 2,0,0,0
AVZXRQRTCWI,2019-02-01,Segment 5,0,0,0
LZCGXXFTICE,2019-02-01,Segment 3,0,0,0
PZTNHRTTCNZ,2019-09-01,Segment 4,4,0.007563963532447815,4
KLUPGVMBXCQ,2019-12-01,Segment 2,0,0,0
SHCMGJIUATA,2019-09-01,Segment 2,0,0,0
LUZRXVMIMPO,2019-11-01,Segment 3,0,0,0
DLWGOXOYIHQ,2019-09-01,Segment 5,3,0.020779430866241455,2
BMPJBBROGLL,2019-02-01,Segment 2,0,0,0
EBXPEGPQTKK,2019-03-01,Segment 2,0,0,0
LHQKRWGYGKR,2019-10-01,Segment 5,0,0,0
VQHQEWOHKAZ,2019-02-01,Segment 3,2,0.03848692774772644,3
JSAZBPXECPQ,2019-11-01,Segment 3,9,0.013115912675857544,13
UZQFEAYUKEX,2019-07-01,Segment 2,5,0.02518846094608307,5
TTRXMRPMZTE,2019-11-01,Segment 5,0,0,0
VLQQOKTAUYI,2019-09-01,Segment 2,0,0,0
KETFTZWCKHX,2019-12-01,Segment 2,0,0,0
GONQBWISBLP,2019-08-01,Segment 2,0,0,0
WKYCDHMEDWY,2019-12-01,Segment 3,3,-0.012240082025527954,0
JHMPXFUJWYR,2019-03-01,Segment 3,3,-0.0017234385013580322,4
DNRMFXYOXRM,2019-05-01,Segment 4,0,0,0
RDDDSEGZXSZ,2019-03-01,Segment 4,0,0,0
YZJHCHTMXLP,2019-04-01,Segment 2,0,0,0
PGPNVQMCVHY,2019-11-01,Segment 2,0,0,0
NNGHBMLTLAR,2019-02-01,Segment 2,0,0,0
PGEUMNQGWLU,2019-10-01,Segment 2,0,0,0
MIXTYJSMKMA,2019-01-01,Segment 5,0,0,0
XVQOPAMPFUV,2019-09-01,Segment 3,0,0,0
TFBVZYOVUCD,2019-01-01,Segment 3,2,0.08603795617818832,4
TJETCRSWHTJ,2019-05-01,Segment 2,4,-0.0055463314056396484,6
CTOMEYBEHHE,2019-09-01,Segment 3,0,0,0
RPULFQZZLKL,2019-09-01,Segment 3,5,0.10290858149528503,6
BCEZPNRLADF,2019-03-01,Segment 3,3,0.03633616864681244,2
HQSQANKNTTN,2019-11-01,Segment 2,0,0,0
UTLTPVWPSHU,2019-09-01,Segment 5,0,0,0
ZJFVUDRDNNH,2019-12-01,Segment 2,0,0,0
HCEJMUWZNWH,2019-05-01,Segment 4,8,0.016969427466392517,8
JEIKUFSGUXP,2019-02-01,Segment 2,0,0,0
TAYGOCUOJTN,2019-08-01,Segment 2,0,0,0
SDWRXKOJKPH,2019-12-01,Segment 5,0,0,0
VWTKRLSANYK,2019-02-01,Segment 4,0,0,0
LYYBIVPBKOD,2019-05-01,Segment 2,5,0.07911048829555511,5
ICBXMRBHBTM,2019-10-01,Segment 2,0,0,0
FCFEMONMGMH,2019-10-01,Segment 3,0,0,0
ZASRJSIEKZG,2019-03-01,Segment 2,0,0,0
GFDAWUEKJGI,2019-01-01,Segment 3,3,0.022789284586906433,6
PHKNJTPGSWA,2019-02-01,Segment 3,0,0,0
JMMZQHKPIQM,2019-04-01,Segment 3,2,0.03258265554904938,4
RAIMSUMGBQH,2019-08-01,Segment 3,0,0,0
CMXSZKBJCSE,2019-05-01,Segment 2,0,0,0
DLVTTGEPGBG,2019-01-01,Segment 2,0,0,0
GIYIDYCUHYM,2019-05-01,Segment 5,0,0,0
XNRSBPTHRQX,2019-10-01,Segment 2,0,0,0
CFRGBYFLPLF,2019-09-01,Segment 4,1,0.01365099847316742,0
PKBGYMZJRVC,2019-12-01,Segment 5,0,0,0
GRLAAMKMSXS,2019-06-01,Segment 1,0,0,0
